doi,study,auth,treatment,trt_yr_st,trt_yr_end,yrs_btwn_meas,location,site_id,rotation,commodity,output,value,yrly_delta,diff_delta,unit,soc_interp,std,lyr_top,lyr_btm,repl_measures,rep_meas
10.1002/saj2.20003,AlKaisi_2020,Al-Kaisi,nt,2002,2007,5,Sutherland,9,cs,soybean,soc,2.15,0.43,0.743166667,Mg ha-1,delta,na,0,60,40,2
10.1002/saj2.20003,AlKaisi_2020,Al-Kaisi,st,2002,2007,5,Sutherland,9,cs,soybean,soc,1.8,0.36,0.743166667,Mg ha-1,delta,na,0,60,40,2
10.1002/saj2.20003,AlKaisi_2020,Al-Kaisi,cp,2002,2007,5,Sutherland,9,cs,soybean,soc,-1.86,-0.372,0.743166667,Mg ha-1,delta,na,0,60,40,2
10.1002/saj2.20003,AlKaisi_2020,Al-Kaisi,dr,2002,2007,5,Sutherland,9,cs,soybean,soc,-1.62,-0.324,0.743166667,Mg ha-1,delta,na,0,60,40,2
10.1002/saj2.20003,AlKaisi_2020,Al-Kaisi,mp,2002,2007,5,Sutherland,9,cs,soybean,soc,-2.04,-0.408,0.743166667,Mg ha-1,delta,na,0,60,40,2
10.1002/saj2.20003,AlKaisi_2020,Al-Kaisi,nt,2002,2007,5,Sutherland,9,ccs,soybean,soc,2.11,0.422,0.666583333,Mg ha-1,delta,na,0,60,40,2
10.1002/saj2.20003,AlKaisi_2020,Al-Kaisi,st,2002,2007,5,Sutherland,9,ccs,soybean,soc,1.43,0.286,0.666583333,Mg ha-1,delta,na,0,60,40,2
10.1002/saj2.20003,AlKaisi_2020,Al-Kaisi,cp,2002,2007,5,Sutherland,9,ccs,soybean,soc,-1.63,-0.326,0.666583333,Mg ha-1,delta,na,0,60,40,2
10.1002/saj2.20003,AlKaisi_2020,Al-Kaisi,dr,2002,2007,5,Sutherland,9,ccs,soybean,soc,-1.52,-0.304,0.666583333,Mg ha-1,delta,na,0,60,40,2
10.1002/saj2.20003,AlKaisi_2020,Al-Kaisi,mp,2002,2007,5,Sutherland,9,ccs,soybean,soc,-1.86,-0.372,0.666583333,Mg ha-1,delta,na,0,60,40,2
10.1002/saj2.20003,AlKaisi_2020,Al-Kaisi,nt,2007,2014,7,Sutherland,9,cs,soybean,soc,2.94,0.42,0.743166667,Mg ha-1,delta,na,0,60,40,2
10.1002/saj2.20003,AlKaisi_2020,Al-Kaisi,st,2007,2014,7,Sutherland,9,cs,soybean,soc,2.52,0.36,0.743166667,Mg ha-1,delta,na,0,60,40,2
10.1002/saj2.20003,AlKaisi_2020,Al-Kaisi,cp,2007,2014,7,Sutherland,9,cs,soybean,soc,-2.17,-0.31,0.743166667,Mg ha-1,delta,na,0,60,40,2
10.1002/saj2.20003,AlKaisi_2020,Al-Kaisi,dr,2007,2014,7,Sutherland,9,cs,soybean,soc,-2.26,-0.323,0.743166667,Mg ha-1,delta,na,0,60,40,2
